Description,Native,Bytes,R-encoding,score
VIDEO GAME,🎮,\xF0\x9F\x8E\xAE,<ed><a0><bc><ed><be><ae>,0
VIDEOCASSETTE,📼,\xF0\x9F\x93\xBC,<ed><a0><bd><ed><b3><bc>,0
VIOLIN,🎻,\xF0\x9F\x8E\xBB,<ed><a0><bc><ed><be><bb>,0
VIRGO,♍,\xE2\x99\x8D,<e2><99><8d>,0
VOLCANO,🌋,\xF0\x9F\x8C\x8B,<ed><a0><bc><ed><bc><8b>,0
WANING CRESCENT MOON SYMBOL,🌘,\xF0\x9F\x8C\x98,<ed><a0><bc><ed><bc><98>,0
WANING GIBBOUS MOON SYMBOL,🌖,\xF0\x9F\x8C\x96,<ed><a0><bc><ed><bc><96>,0
WARNING SIGN,⚠,\xE2\x9A\xA0,<e2><9a><a0>,0
WATCH,⌚,\xE2\x8C\x9A,<e2><8c><9a>,0
WATER BUFFALO,🐃,\xF0\x9F\x90\x83,<ed><a0><bd><ed><b0><83>,0
WATER CLOSET,🚾,\xF0\x9F\x9A\xBE,<ed><a0><bd><ed><ba><be>,0
WATER WAVE,🌊,\xF0\x9F\x8C\x8A,<ed><a0><bc><ed><bc><8a>,0
WATERMELON,🍉,\xF0\x9F\x8D\x89,<ed><a0><bc><ed><bd><89>,0
WAVING HAND SIGN,👋,\xF0\x9F\x91\x8B,<ed><a0><bd><ed><b1><8b>,9
WAVY DASH,〰,\xE3\x80\xB0,<e3><80><b0>,0
WAXING CRESCENT MOON SYMBOL,🌒,\xF0\x9F\x8C\x92,<ed><a0><bc><ed><bc><92>,0
WAXING GIBBOUS MOON SYMBOL,🌔,\xF0\x9F\x8C\x94,<ed><a0><bc><ed><bc><94>,0
WEARY CAT FACE,🙀,\xF0\x9F\x99\x80,<ed><a0><bd><ed><b9><80>,-9
WEARY FACE,😩,\xF0\x9F\x98\xA9,<ed><a0><bd><ed><b8><a9>,-9
WEDDING,💒,\xF0\x9F\x92\x92,<ed><a0><bd><ed><b2><92>,0
WHALE,🐋,\xF0\x9F\x90\x8B,<ed><a0><bd><ed><b0><8b>,0
WHEELCHAIR SYMBOL,♿,\xE2\x99\xBF,<e2><99><bf>,0
WHITE DOWN POINTING BACKHAND INDEX,👇,\xF0\x9F\x91\x87,<ed><a0><bd><ed><b1><87>,0
WHITE EXCLAMATION MARK ORNAMENT,❕,\xE2\x9D\x95,<e2><9d><95>,0
WHITE FLOWER,💮,\xF0\x9F\x92\xAE,<ed><a0><bd><ed><b2><ae>,0
WHITE HEAVY CHECK MARK,✅,\xE2\x9C\x85,<e2><9c><85>,0
WHITE LARGE SQUARE,⬜,\xE2\xAC\x9C,<e2><ac><9c>,0
WHITE LEFT POINTING BACKHAND INDEX,👈,\xF0\x9F\x91\x88,<ed><a0><bd><ed><b1><88>,0
WHITE MEDIUM SMALL SQUARE,◽,\xE2\x97\xBD,<e2><97><bd>,0
WHITE MEDIUM SQUARE,◻,\xE2\x97\xBB,<e2><97><bb>,0
WHITE MEDIUM STAR,⭐,\xE2\xAD\x90,<e2><ad><90>,9
WHITE QUESTION MARK ORNAMENT,❔,\xE2\x9D\x94,<e2><9d><94>,0
WHITE RIGHT POINTING BACKHAND INDEX,👉,\xF0\x9F\x91\x89,<ed><a0><bd><ed><b1><89>,0
WHITE SMALL SQUARE,▫,\xE2\x96\xAB,<e2><96><ab>,0
WHITE SMILING FACE,☺,\xE2\x98\xBA,<e2><98><ba>,9
WHITE SQUARE BUTTON,🔳,\xF0\x9F\x94\xB3,<ed><a0><bd><ed><b4><b3>,0
WHITE UP POINTING BACKHAND INDEX,👆,\xF0\x9F\x91\x86,<ed><a0><bd><ed><b1><86>,0
WHITE UP POINTING INDEX,☝,\xE2\x98\x9D,<e2><98><9d>,9
WIND CHIME,🎐,\xF0\x9F\x8E\x90,<ed><a0><bc><ed><be><90>,0
WINE GLASS,🍷,\xF0\x9F\x8D\xB7,<ed><a0><bc><ed><bd><b7>,9
WINKING FACE,😉,\xF0\x9F\x98\x89,<ed><a0><bd><ed><b8><89>,9
WOLF FACE,🐺,\xF0\x9F\x90\xBA,<ed><a0><bd><ed><b0><ba>,0
WOMAN,👩,\xF0\x9F\x91\xA9,<ed><a0><bd><ed><b1><a9>,9
WOMAN WITH BUNNY EARS,👯,\xF0\x9F\x91\xAF,<ed><a0><bd><ed><b1><af>,9
WOMANS BOOTS,👢,\xF0\x9F\x91\xA2,<ed><a0><bd><ed><b1><a2>,0
WOMANS CLOTHES,👚,\xF0\x9F\x91\x9A,<ed><a0><bd><ed><b1><9a>,0
WOMANS HAT,👒,\xF0\x9F\x91\x92,<ed><a0><bd><ed><b1><92>,0
WOMANS SANDAL,👡,\xF0\x9F\x91\xA1,<ed><a0><bd><ed><b1><a1>,0
WOMENS SYMBOL,🚺,\xF0\x9F\x9A\xBA,<ed><a0><bd><ed><ba><ba>,0
WORRIED FACE,😟,\xF0\x9F\x98\x9F,<ed><a0><bd><ed><b8><9f>,-9
WRAPPED PRESENT,🎁,\xF0\x9F\x8E\x81,<ed><a0><bc><ed><be><81>,0
WRENCH,🔧,\xF0\x9F\x94\xA7,<ed><a0><bd><ed><b4><a7>,0
YELLOW HEART,💛,\xF0\x9F\x92\x9B,<ed><a0><bd><ed><b2><9b>,9
